Location from XCT (mm),,,Displacement between ultrasonic tracking and XCT location (mm),,,
Lateral,Elevational,Axial,Lateral,Elevational,Axial,Distance
30.78,8.81,11.10,1.53 ± 0.14,0.13 ± 0.09,-0.76 ± 0.28,1.71 ± 0.33
22.94,4.33,17.99,0.87 ± 0.42,2.45 ± 0.44,2.17 ± 0.66,3.38 ± 0.90
-30.44,0.87,21.30,1.78 ± 0.30,1.30 ± 0.39,1.06 ± 0.30,2.44 ± 0.58
34.76,-0.12,36.48,0.23 ± 0.13,-0.41 ± 0.09,-0.77 ± 0.07,0.90 ± 0.18
6.42,4.42,36.53,2.01 ± 0.49,2.02 ± 1.05,-1.00 ± 0.44,3.02 ± 1.24
-13.13,-6.50,59.59,-0.26 ± 2.17,0.62 ± 0.98,-0.69 ± 0.32,0.96 ± 2.40
-14.82,-6.53,59.90,-1.31 ± 0.71,0.73 ± 0.28,-0.88 ± 0.08,1.74 ± 0.77
-7.32,-2.39,65.46,-1.11 ± 0.75,-0.43 ± 0.36,-0.59 ± 0.23,1.32 ± 0.86
-26.84,-11.26,74.02,-1.07 ± 1.65,1.55 ± 0.47,-1.31 ± 0.31,2.29 ± 1.74
5.88,-7.29,102.32,-2.25 ± 0.46,-0.21 ± 0.52,-0.21 ± 0.12,2.27 ± 0.70
-5.71,-1.10,113.42,-1.12 ± 1.17,0.31 ± 0.65,-2.08 ± 0.26,2.38 ± 1.37
